uniq_id,ip_address,campaign,station,created_at,updated_at,city,state,user_agent,referral
DpKzwR2ZkZdDbA==,108.41.23.150,promoclick_03102016,promoc,08:54.3,08:54.3,Brewster,New York,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://promoclicksweeps.com/
5EEM2quH8T2KJA==,192.234.2.18,tmpg_03102016,tmpg,25:25.9,25:25.9,Bristol,Connecticut,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.82 Safari/537.36",http://tmpg.com/contact-us/
r+b2K9BlHS/XDw==,::1,ricola_03072016,tmpgj5tp,37:45.0,37:45.0,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",
,,,,37:39.1,37:39.1,,,,
8sexDVo8eZL8Ew==,70.60.102.186,tmpg_03102016,tmpg,51:27.8,51:27.8,Apex,North Carolina,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/contact-us/
KcrQfP9qzrvrsQ==,,tmpg_03102016,tmpg,19:13.2,19:13.2,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
TYggc1zceIO8tA==,108.41.23.150,tmpg_03102016,tmpg,22:16.5,22:16.5,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
bpXLHu4d9PbKsw==,173.2.2.10,tmpg_03102016,tmpg,38:15.8,38:15.8,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",http://tmpg.com/
W2EnG2FXjTr6lQ==,173.2.2.10,tmpg_03102016,tmpg,38:20.3,38:20.3,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",http://tmpg.com/
VyV8z9DIPD/cbQ==,173.2.2.10,tmpg_03102016,tmpg,38:25.1,38:25.1,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",http://tmpg.com/contact-us/
6leaEpBvs0z8Gw==,173.2.2.10,tmpg_03102016,tmpg,06:20.6,06:20.6,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",http://tmpg.com/
8CHa6HQVQTeg2w==,173.2.2.10,tmpg_03102016,tmpg,06:29.5,06:29.5,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",http://tmpg.com/contact-us/
Mkorwt9jsCl4Jw==,173.2.2.10,tmpg_03102016,tmpg,07:15.2,07:15.2,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",http://tmpg.com/
f5yntXVwar8wfg==,198.105.45.121,tmpg_03102016,tmpg,33:33.6,33:33.6,,,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,http://tmpg.com/
BAW2gZxttaBqeQ==,198.105.45.121,tmpg_03102016,tmpg,33:37.0,33:37.0,,,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,http://tmpg.com/contact-us/
gTJjYBzQNrF26g==,173.2.139.10,tmpg_03102016,tmpg,10:52.4,10:52.4,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",http://tmpg.com/
T8eYpXgZzJ1xDA==,74.62.227.147,tmpg_03102016,tmpg,10:07.6,10:07.6,,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
B5ppqC2tBH94pQ==,108.176.29.90,tmpg_03102016,tmpg,29:25.8,29:25.8,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/contact-us/
CFDo6/lecHwkIw==,108.176.29.90,tmpg_03102016,tmpg,37:57.5,37:57.5,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
6fydsIKHrulZ4A==,108.176.29.90,tmpg_03102016,tmpg,40:13.8,40:13.8,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/careers/
ks5CLYppipPQpA==,108.176.29.90,tmpg_03102016,tmpg,40:25.0,40:25.0,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/contact-us/
A4JiHTpLLxsO5Q==,108.176.29.90,tmpg_03102016,tmpg,43:36.8,43:36.8,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
zFnQVuE2OK45ig==,108.176.29.90,tmpg_03102016,tmpg,44:03.9,44:03.9,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/contact-us/
4f9orXKOGJ9okw==,108.176.29.90,tmpg_03102016,tmpg,44:06.2,44:06.2,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
7nel1CNLt15GwQ==,74.123.204.6,tmpg_03102016,tmpg,54:36.9,54:36.9,,,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,http://tmpg.com/
,,,,04:48.8,04:48.8,,,,
,,,,43:45.7,43:45.7,,,,
,,,,55:37.4,55:37.4,,,,
PmoiEwe3MiTIFw==,190.22.79.125,tmpg_03102016,tmpg,44:38.9,44:38.9,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36",http://tmpg.com/
CE+gCMsn5g+rHA==,108.176.29.90,tmpg_03102016,tmpg,59:16.3,59:16.3,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_2) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/contact-us/
,,,,41:53.3,41:53.3,,,,
,,,,18:39.8,18:39.8,,,,
LjLGyxYRBNH8TA==,70.214.73.218,tmpg_03102016,tmpg,40:42.3,40:42.3,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1",http://tmpg.com/
A93g/Ssri9N+kw==,74.123.204.6,tmpg_03102016,tmpg,54:44.1,54:44.1,,,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,http://tmpg.com/contact-us/
OEMyo6oTUpbFhA==,67.53.18.62,tmpg_03102016,tmpg,07:13.5,07:13.5,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",http://tmpg.com/
NfMcapWLzvId4g==,74.93.80.253,tmpg_03102016,tmpg,28:33.0,28:33.0,,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0,http://tmpg.com/
+xA8gJHnE+MIeQ==,120.29.87.253,tmpg_03102016,tmpg,01:56.9,01:56.9,,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
vQbEUXw12/xhkQ==,69.115.57.169,tmpg_03102016,tmpg,21:13.8,21:13.8,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:44.0) Gecko/20100101 Firefox/44.0,http://tmpg.com/
znmlA1ZZBcJoFw==,209.148.37.114,tmpg_03102016,tmpg,20:05.1,20:05.1,,,Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko,http://tmpg.com/
,,,,19:43.2,19:43.2,,,,
,,,,36:32.5,36:32.5,,,,
zd9lKS3iN2OlAQ==,173.234.233.74,tmpg_03102016,tmpg,21:22.0,21:22.0,,,Mozilla/5.0 (X11; Linux x86_64; rv:38.0) Gecko/20100101 Firefox/38.0,http://tmpg.com/
,,,,02:12.1,02:12.1,,,,
3WesHbfVSJfLfg==,66.102.6.199,promoclick_03102016,promoc,04:18.3,04:18.3,,,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,http://promoclicksweeps.com/register/
fDIOaCUzpatJGw==,94.64.161.144,tmpg_03102016,tmpg,31:38.0,31:38.0,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.107 Safari/537.36",http://tmpg.com/
,,,,26:41.1,26:41.1,,,,
WiAEaV1Lg02U4Q==,12.208.6.253,tmpg_03102016,tmpg,01:09.4,01:09.4,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/contact-us/
wMRt35o9eID0gA==,12.208.6.253,tmpg_03102016,tmpg,02:28.5,02:28.5,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
/ohpNb9oROSAsQ==,66.108.160.228,tmpg_03102016,tmpg,15:37.1,15:37.1,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
nggPW27PB2eweg==,166.216.165.115,tmpg_03102016,tmpg,56:49.1,56:49.1,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1",http://tmpg.com/
1+vFixX1zfbubw==,166.216.165.115,tmpg_03102016,tmpg,57:39.5,57:39.5,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1",http://tmpg.com/
4J+G+WgajXPh9A==,69.116.245.176,tmpg_03102016,tmpg,29:05.5,29:05.5,,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
c+/Qq3YHdZOumQ==,74.73.181.124,tmpg_03102016,tmpg,15:33.2,15:33.2,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
NhO828HE3GQHjQ==,73.77.34.44,tmpg_03102016,tmpg,55:39.2,55:39.2,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36",http://tmpg.com/
gUr4vm8MZFl1jw==,24.254.238.109,tmpg_03102016,tmpg,34:50.6,34:50.6,,,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko,http://tmpg.com/
mGsnDSud3YRH2A==,24.248.24.3,tmpg_03102016,tmpg,37:26.8,37:26.8,,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
uuL23FHwK9+7Eg==,104.197.197.145,promoclick_03102016,promoc,18:09.2,18:09.2,,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2672.0 Safari/537.36",http://promoclicksweeps.com/
8KO2P3rEk5/Erg==,80.242.34.105,tmpg_03102016,tmpg,52:38.5,52:38.5,,,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/534.34 (KHTML, like Gecko) wkhtmltoimage Safari/534.34",http://tmpg.com/
a+k664E630yPIA==,108.17.135.57,tmpg_03102016,tmpg,19:06.8,19:06.8,,,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
aJMtfWceALOW7Q==,173.68.131.209,tmpg_03102016,tmpg,10:32.9,10:32.9,,,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13D15 Safari/601.1",http://tmpg.com/
KclVzBBgjn1SHQ==,74.89.86.43,tmpg_03102016,tmpg,46:27.2,46:27.2,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",http://tmpg.com/
38Fms+zGZdocKw==,191.5.249.109,tmpg_03102016,tmpg,49:13.4,49:13.4,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36",http://tmpg.com/
2F7A6GO7IMapxQ==,68.198.107.98,tmpg_03102016,tmpg,57:08.5,57:08.5,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
Zk438P7atiLL3A==,68.198.107.98,tmpg_03102016,tmpg,57:59.9,57:59.9,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/contact-us/
RZDs2S+jk5C8pw==,68.198.107.98,tmpg_03102016,tmpg,58:20.3,58:20.3,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/careers/
oJOSgodkZWAj5w==,68.198.107.98,tmpg_03102016,tmpg,58:20.4,58:20.4,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/careers/
RKB7ClAGsDfR/Q==,68.198.107.98,tmpg_03102016,tmpg,01:19.4,01:19.4,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
oZv46ZSyi/vTyg==,68.198.107.98,tmpg_03102016,tmpg,01:19.5,01:19.5,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
eaIoRPnGSKgskQ==,221.145.183.167,promoclick_03102016,promoc,55:00.2,55:00.2,,,Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1),http://promoclicksweeps.com/
g2t0CpY903yPDw==,52.91.85.54,ricola_03072016,tmpgj5tp,29:12.8,29:12.8,,,Slack-ImgProxy 0.66 (+https://api.slack.com/robots),
yEfUKGiWpD8Myw==,187.5.15.142,tmpg_03102016,tmpg,06:20.6,06:20.6,,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36",http://tmpg.com/
pw5tbz5Ityf8zg==,47.19.140.227,tmpg_03102016,tmpg,08:23.2,08:23.2,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",http://tmpg.com/contact-us/
OV2eRfaf26wi4g==,170.20.11.19,tmpg_03102016,tmpg,50:10.2,50:10.2,,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
Sot59UWM0Vkg0g==,216.54.56.99,tmpg_03102016,tmpg,51:10.3,51:10.3,,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://tmpg.com/
bF7udZM8nOSGEg==,107.15.234.94,promoclick_03102016,promoc,37:05.3,37:05.3,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:44.0) Gecko/20100101 Firefox/44.0,http://promoclicksweeps.com/
7jc6Mz5xbA5s+A==,107.15.234.94,promoclick_03102016,promoc,37:09.2,37:09.2,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:44.0) Gecko/20100101 Firefox/44.0,http://promoclicksweeps.com/register/
v2KwLLiLVT9xxQ==,150.108.240.39,tmpg_03102016,tmpg,51:07.6,51:07.6,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",http://tmpg.com/
kRsaPE+Gk3+ZCA==,69.74.18.105,tmpg_03102016,tmpg,35:06.0,35:06.0,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",http://tmpg.com/
7e2RdI42BgXUVg==,107.15.234.94,promoclick_03102016,promoc,38:46.4,38:46.4,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:44.0) Gecko/20100101 Firefox/44.0,http://promoclicksweeps.com/rules/
aD+6bedg6jz0dQ==,73.8.245.102,promoclick_03102016,promoc,00:12.8,00:12.8,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://promoclicksweeps.com/rules/
B/kAcLI3XSeaOg==,69.74.18.105,tmpg_03102016,tmpg,32:14.0,32:14.0,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",http://tmpg.com/
PZMBS8YCfJhP2g==,107.15.234.94,promoclick_03102016,promoc,39:32.1,39:32.1,,,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:44.0) Gecko/20100101 Firefox/44.0,http://promoclicksweeps.com/
JwseHW29CYNpbQ==,107.15.234.94,promoclick_03102016,promoc,42:49.8,42:49.8,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/600.8.9 (KHTML, like Gecko)",http://promoclicksweeps.com/
qySGTPBtNdf4nw==,150.108.240.39,tmpg_03102016,tmpg,54:31.2,54:31.2,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",http://tmpg.com/
s6wq+206j0HGmw==,73.8.245.102,promoclick_03102016,promoc,12:29.0,12:29.0,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://promoclicksweeps.com/
N6kFxf2Eo3cqIQ==,69.74.18.105,tmpg_03102016,tmpg,31:58.3,31:58.3,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/601.4.4 (KHTML, like Gecko) Version/9.0.3 Safari/601.4.4",http://tmpg.com/
55PWMdg6WlUxYA==,150.108.240.39,tmpg_03102016,tmpg,55:24.4,55:24.4,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",http://tmpg.com/
HAEYFZDEi+miyw==,73.8.245.102,promoclick_03102016,promoc,12:29.2,12:29.2,,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",http://promoclicksweeps.com/
